time,ref_x,ref_y,ref_z,ref_phi,ref_theta,ref_psi
20.730000000002352,722.3141475218679,589.7999936115168,2.9114032766369657,0.41573240056975225,0.41573240056975225,1.2471972017092567
20.731000000002354,722.3835222274317,589.8599271037092,2.912048557215565,0.4161320743181506,0.4161320743181506,1.2483962229544519
20.732000000002355,722.4529006331139,589.9198622064926,2.912691587405013,0.4165310909372031,0.4165310909372031,1.2495932728116095
20.733000000002356,722.5222827721998,589.9797989397637,2.913332365618698,0.416929449796808,0.416929449796808,1.2507883493904242
20.734000000002357,722.5916686595417,590.0397373152431,2.9139708902755617,0.4173271502679024,0.4173271502679024,1.2519814508037073
20.73500000000236,722.6610582916386,590.0996773364533,2.914607159800112,0.41772419172246167,0.41772419172246167,1.253172575167385
20.73600000000236,722.7304516648924,590.1596190068602,2.915241172622411,0.41812057353350557,0.41812057353350557,1.2543617206005169
20.73700000000236,722.7998487757183,590.2195623299231,2.915872927178098,0.41851629507509186,0.41851629507509186,1.2555488852252756
20.738000000002362,722.8692496205449,590.2795073090938,2.9165024219083815,0.4189113557223223,0.4189113557223223,1.256734067166967
20.739000000002363,722.9386541958149,590.3394539478178,2.9171296552600454,0.4193057548513422,0.4193057548513422,1.2579172645540266
20.740000000002365,723.0080624979847,590.3994022495334,2.9177546256854545,0.4196994918393414,0.4196994918393414,1.2590984755180243
20.741000000002366,723.0774745235249,590.4593522176724,2.9183773316425587,0.42009256606455553,0.42009256606455553,1.2602776981936668
20.742000000002367,723.1468902689205,590.5193038556592,2.9189977715948876,0.4204849769062657,0.4204849769062657,1.2614549307187972
20.743000000002368,723.2163097306712,590.5792571669117,2.9196159440115697,0.42087672374480367,0.42087672374480367,1.2626301712344112
20.74400000000237,723.285732905291,590.6392121548405,2.9202318473673263,0.4212678059615468,0.4212678059615468,1.2638034178846405
20.74500000000237,723.3551598078817,590.6991688314453,2.9208454801424772,0.42165822293892274,0.42165822293892274,1.2649746688167685
20.746000000002372,723.4245904719398,590.7591272172818,2.921456840822944,0.42204797406040984,0.42204797406040984,1.2661439221812296
20.747000000002373,723.4940249123131,590.8190873243124,2.9220659279002588,0.4224370587105379,0.4224370587105379,1.2673111761316138
20.748000000002374,723.5634631252831,590.8790491558862,2.9226727398715533,0.42282547627488803,0.42282547627488803,1.2684764288246642
